species,n
Andira_fraxinifolia,584
Andira_inermis,1509
Andira_legalis,76
Andira_micrantha,27
Andira_nitida,166
Andira_parviflora,30
Andira_surinamensis,262
Andira_unifoliolata,20
Anthyllis_barba-jovis,353
Anthyllis_cornicina,358
Anthyllis_cytisoides,11068
Anthyllis_lotoides,1715
Anthyllis_montana,5926
Anthyllis_vulneraria,80815
Antopetitia_abyssinica,280
Aotus_ericoides,3772
Aotus_lanigera,265
Aotus_tietkensii,51
Apios_americana,6038
Apios_carnea,191
Apuleia_leiocarpa,717
Arachis_batizocoi,62
Arachis_burkartii,163
Arachis_cardenasii,57
Arachis_diogoi,53
Arachis_duranensis,226
Arachis_glabrata,819
Arachis_helodes,79
Arachis_hypogaea,5033
Arachis_monticola,34
Arachis_pintoi,792
Arachis_prostrata,234
Arachis_pusilla,293
Arachis_stenosperma,90
Arachis_villosa,78
Archidendron_bigeminum,42
Archidendron_bubalinum,32
Archidendron_clypearia,637
Archidendron_ellipticum,143
Archidendron_jiringa,106
Archidendron_lucidum,531
Archidendron_scutiferum,23
Archidendron_utile,26
Archidendropsis_basaltica,131
Archidendropsis_thozetiana,88
Argyrolobium_amplexicaule,59
Argyrolobium_biebersteinii,88
Argyrolobium_harveyanum,145
Argyrolobium_lunare,129
Argyrolobium_molle,118
Argyrolobium_pauciflorum,72
Argyrolobium_roseum,77
Argyrolobium_rupestre,170
Argyrolobium_speciosum,154
Argyrolobium_stipulaceum,71
Argyrolobium_tomentosum,358
Argyrolobium_transvaalense,105
Argyrolobium_tuberosum,289
Argyrolobium_uniflorum,175
Argyrolobium_zanonii,11874
Aspalathus_abietina,95
Aspalathus_acuminata,215
Aspalathus_albens,75
Aspalathus_alopecurus,94
Aspalathus_angustifolia,191
Aspalathus_araneosa,82
Aspalathus_aspalathoides,140
Aspalathus_asparagoides,93
Aspalathus_astroites,47
Aspalathus_biflora,79
Aspalathus_bodkinii,35
Aspalathus_bracteata,71
Aspalathus_capensis,45
Aspalathus_carnosa,93
Aspalathus_cephalotes,121
Aspalathus_chenopoda,121
Aspalathus_chortophila,138
Aspalathus_ciliaris,329
Aspalathus_cordata,264
Aspalathus_crassisepala,74
Aspalathus_crenata,118
Aspalathus_divaricata,180
Aspalathus_ericifolia,170
Aspalathus_flexuosa,79
Aspalathus_forbesii,38
Aspalathus_gerrardii,41
Aspalathus_heterophylla,44
Aspalathus_hirta,192
Aspalathus_hispida,345
Aspalathus_hystrix,125
Aspalathus_juniperina,132
Aspalathus_lactea,66
Aspalathus_laricifolia,148
Aspalathus_linearis,157
Aspalathus_linguiloba,40
Aspalathus_microphylla,60
Aspalathus_muraltioides,45
Aspalathus_nigra,185
Aspalathus_nivea,34
Aspalathus_opaca,81
Aspalathus_pachyloba,47
Aspalathus_pendula,30
Aspalathus_quinquefolia,155
Aspalathus_recurva,46
Aspalathus_retroflexa,145
Aspalathus_rubens,171
Aspalathus_salteri,38
Aspalathus_sericea,78
Aspalathus_setacea,102
Aspalathus_spicata,95
Aspalathus_spinescens,87
Aspalathus_spinosa,359
Aspalathus_stenophylla,44
Aspalathus_ternata,155
Aspalathus_tuberculata,24
Aspalathus_uniflora,75
Astragalus_aboriginum,194
Astragalus_agrestis,1841
Astragalus_allochrous,296
Astragalus_alopecuroides,766
Astragalus_alpinus,13997
Astragalus_americanus,330
Astragalus_amherstianus,33
Astragalus_angustifolius,156
Astragalus_annularis,112
Astragalus_arenarius,698
Astragalus_argophyllus,368
Astragalus_armatus,114
Astragalus_asper,251
Astragalus_asymmetricus,85
Astragalus_atropilosulus,107
Astragalus_australis,1644
Astragalus_beckwithii,537
Astragalus_bisulcatus,1470
Astragalus_bodinii,172
Astragalus_boeticus,487
Astragalus_bolanderi,122
Astragalus_brachycarpus,40
Astragalus_brazoensis,38
Astragalus_callichrous,268
Astragalus_canadensis,2419
Astragalus_ceramicus,563
Astragalus_chinensis,72
Astragalus_chlorostachys,35
Astragalus_chrysopterus,68
Astragalus_cicer,6629
Astragalus_crassicarpus,2104
Astragalus_crenatus,128
Astragalus_danicus,5521
Astragalus_densiflorus,52
Astragalus_drummondii,812
Astragalus_echinatus,651
Astragalus_eucosmus,458
Astragalus_falcatus,145
Astragalus_filicaulis,100
Astragalus_flexuosus,888
Astragalus_frigidus,4759
Astragalus_galegiformis,101
Astragalus_gambelianus,700
Astragalus_geminiflorus,65
Astragalus_glaux,565
Astragalus_glycyphyllos,35909
Astragalus_gracilis,669
Astragalus_graveolens,34
Astragalus_hamosus,4027
Astragalus_himalayanus,45
Astragalus_hispidulus,67
Astragalus_hornii,45
Astragalus_humistratus,594
Astragalus_hypogaeus,33
Astragalus_hypoglottis,1579
Astragalus_kentrophyta,1147
Astragalus_lehmannianus,29
Astragalus_lentiginosus,5497
Astragalus_leontinus,280
Astragalus_leptocarpus,157
Astragalus_leucocephalus,44
Astragalus_lindheimeri,218
Astragalus_lonchocarpus,474
Astragalus_miniatus,41
Astragalus_miser,1841
Astragalus_missouriensis,1809
Astragalus_mollissimus,2288
Astragalus_monspessulanus,10161
Astragalus_neglectus,242
Astragalus_nothoxys,219
Astragalus_nuttallianus,2377
Astragalus_nuttallii,182
Astragalus_onobrychis,3775
Astragalus_oxyglottis,98
Astragalus_palmeri,428
Astragalus_pectinatus,709
Astragalus_pehuenches,42
Astragalus_ponticus,115
Astragalus_purshii,3013
Astragalus_robbinsii,428
Astragalus_scaberrimus,309
Astragalus_sempervirens,1983
Astragalus_sesameus,3491
Astragalus_sinicus,977
Astragalus_spatulatus,863
Astragalus_stenoceras,66
Astragalus_stevenianus,191
Astragalus_subumbellatus,76
Astragalus_sulcatus,514
Astragalus_tenellus,934
Astragalus_tener,159
Astragalus_tibetanus,248
Astragalus_tribuloides,438
Astragalus_trichopodus,1320
Astragalus_uliginosus,518
Astragalus_umbellatus,817
Astragalus_utahensis,587
Astragalus_vaginatus,75
Astragalus_vexilliflexus,374
Astragalus_whitneyi,709
Astragalus_wootonii,449
Astragalus_zingeri,57
Ateleia_glazioveana,62
Ateleia_gummifera,97
Baikiaea_insignis,167
Baikiaea_plurijuga,171
Balsamocarpon_brevifolium,68
Baphia_laurifolia,185
Baphia_massaiensis,349
Baphia_maxima,41
Baphia_pubescens,235
Baphiopsis_parviflora,116
Baptisia_alba,2915
Baptisia_australis,2694
Baptisia_bracteata,2168
Baptisia_perfoliata,131
Baptisia_tinctoria,1906
Barbieria_pinnata,150
Batesia_floribunda,90
Bauhinia_acreana,109
Bauhinia_acuminata,316
Bauhinia_acuruana,301
Bauhinia_bauhinioides,75
Bauhinia_brachycarpa,331
Bauhinia_brevipes,298
Bauhinia_conwayi,29
Bauhinia_divaricata,2039
Bauhinia_forficata,1091
Bauhinia_galpinii,592
Bauhinia_glauca,136
Bauhinia_longicuspis,282
Bauhinia_longifolia,427
Bauhinia_monandra,538
Bauhinia_pauletia,289
Bauhinia_pentandra,347
Bauhinia_petersiana,225
Bauhinia_picta,210
Bauhinia_pottsii,45
Bauhinia_pulchella,398
Bauhinia_purpurea,522
Bauhinia_racemosa,113
Bauhinia_rufa,670
Bauhinia_rufescens,655
Bauhinia_tomentosa,339
Bauhinia_ungulata,1531
Bauhinia_variegata,1035
Berlinia_bracteosa,202
Berlinia_craibiana,71
Berlinia_grandiflora,660
Bituminaria_bituminosa,25124
Bobgunnia_madagascariensis,559
Bolusanthus_speciosus,206
Bossiaea_aquifolium,298
Bossiaea_bossiaeoides,760
Bossiaea_buxifolia,1646
Bossiaea_cinerea,1795
Bossiaea_dentata,77
Bossiaea_ensata,1005
Bossiaea_eriocarpa,815
Bossiaea_foliosa,1004
Bossiaea_heterophylla,2699
Bossiaea_linophylla,410
Bossiaea_ornata,360
Bossiaea_preissii,144
Bossiaea_prostrata,5895
Bossiaea_pulchella,83
Bossiaea_walkeri,613
Bossiaea_webbii,55
Bowdichia_nitida,56
Bowdichia_virgilioides,1170
Brachystegia_allenii,69
Brachystegia_boehmii,315
Brachystegia_bussei,64
