species,n
Nissolia_schottii,139
Ohwia_caudata,551
Olneya_tesota,2331
Onobrychis_arenaria,3008
Onobrychis_biebersteinii,71
Onobrychis_conferta,1200
Onobrychis_cornuta,143
Onobrychis_cyri,81
Onobrychis_humilis,660
Onobrychis_pallasii,64
Onobrychis_petraea,43
Onobrychis_transcaucasica,33
Onobrychis_viciifolia,26519
Ononis_alopecuroides,288
Ononis_cristata,1489
Ononis_fruticosa,2987
Ononis_mitissima,704
Ononis_natrix,10603
Ononis_pusilla,7406
Ononis_reclinata,3164
Ononis_rotundifolia,1778
Ononis_serrata,232
Ononis_spinosa,64971
Ononis_variegata,187
Ononis_viscosa,1667
Ophrestia_oblongifolia,72
Ophrestia_radicosa,47
Ormocarpum_cochinchinense,85
Ormocarpum_kirkii,128
Ormocarpum_sennoides,245
Ormocarpum_trichocarpum,224
Ormosia_arborea,204
Ormosia_coarctata,97
Ormosia_coccinea,157
Ormosia_costulata,88
Ormosia_coutinhoi,79
Ormosia_discolor,43
Ormosia_emarginata,30
Ormosia_excelsa,60
Ormosia_fastigiata,99
Ormosia_flava,48
Ormosia_grossa,31
Ormosia_henryi,87
Ormosia_krugii,65
Ormosia_macrocalyx,179
Ormosia_monosperma,23
Ormosia_nobilis,89
Ormosia_paraensis,133
Ormosia_pinnata,24
Ormosia_semicastrata,68
Ormosia_smithii,38
Ormosia_sumatrana,42
Ormosia_xylocarpa,64
Ornithopus_compressus,8287
Ornithopus_perpusillus,27916
Ornithopus_pinnatus,2804
Ornithopus_sativus,2622
Otoptera_burchellii,202
Oxylobium_ellipticum,1791
Oxylobium_robustum,249
Oxyrhynchus_volubilis,43
Oxytropis_anertii,10
Oxytropis_arctica,503
Oxytropis_campanulata,459
Oxytropis_campestris,5249
Oxytropis_deflexa,1326
Oxytropis_glabra,365
Oxytropis_halleri,737
Oxytropis_kansuensis,155
Oxytropis_lambertii,3302
Oxytropis_lapponica,2477
Oxytropis_leucantha,339
Oxytropis_maydelliana,878
Oxytropis_melanocalyx,85
Oxytropis_mollis,93
Oxytropis_neglecta,536
Oxytropis_oreophila,219
Oxytropis_pilosa,2717
Oxytropis_scammaniana,145
Oxytropis_sericea,2107
Oxytropis_spicata,61
Oxytropis_splendens,976
Oxytropis_viscida,134
Pachyrhizus_erosus,1115
Pachyrhizus_ferrugineus,221
Pachyrhizus_tuberosus,54
Paramachaerium_ormosioides,19
Parapiptadenia_excelsa,99
Parapiptadenia_pterosperma,91
Parapiptadenia_rigida,541
Paraserianthes_lophantha,2281
Parkia_decussata,38
Parkia_discolor,124
Parkia_filicoidea,194
Parkia_gigantocarpa,31
Parkia_igneiflora,121
Parkia_multijuga,221
Parkia_nitida,305
Parkia_pendula,410
Parkia_platycephala,225
Parkia_speciosa,157
Parkia_timoriana,677
Parkia_ulei,93
Parkia_velutina,129
Parkinsonia_aculeata,15962
Parkinsonia_africana,186
Parochetus_communis,393
Parryella_filifolia,182
Pearsonia_aristata,91
Pearsonia_cajanifolia,107
Pearsonia_grandifolia,70
Pearsonia_sessilifolia,261
Pediomelum_subacaule,171
Peltogyne_catingae,45
Peltogyne_confertiflora,183
Peltogyne_gracilipes,32
Peltogyne_paniculata,180
Peltogyne_venosa,189
Peltophorum_africanum,706
Peltophorum_dubium,768
Peltophorum_pterocarpum,702
Pentaclethra_macroloba,419
Periandra_coccinea,372
Periandra_mediterranea,970
Pericopsis_angolensis,259
Pericopsis_elata,57
Pericopsis_mooniana,38
Petalostylis_labicheoides,537
Phaseolus_acutifolius,938
Phaseolus_coccineus,3843
Phaseolus_filiformis,951
Phaseolus_glabellus,80
Phaseolus_lunatus,2769
Phaseolus_maculatus,578
Phaseolus_parvulus,213
Phaseolus_pedicellatus,485
Phaseolus_polystachios,699
Phaseolus_vulgaris,13125
Phyllodium_elegans,126
Phyllodium_pulchellum,622
Phyllota_barbata,81
Phyllota_phylicoides,1756
Phyllota_pleurandroides,1069
Phyllota_remota,193
Pickeringia_montana,1030
Piliostigma_malabaricum,339
Piptadenia_adiantoides,170
Piptadenia_gonoacantha,565
Piptadenia_paniculata,134
Piptanthus_nepalensis,231
Piscidia_grandifolia,188
Piscidia_piscipula,857
Pithecellobium_diversifolium,160
Pithecellobium_dulce,3307
Pithecellobium_lanceolatum,1397
Pithecellobium_unguis-cati,647
Platycyamus_regnellii,75
Platylobium_formosum,5328
Platylobium_obtusangulum,3595
Platymiscium_floribundum,367
Platymiscium_pinnatum,755
Platymiscium_stipulare,94
Platymiscium_trinitatis,67
Platypodium_elegans,996
Podalyria_biflora,111
Podalyria_burchellii,208
Podalyria_calyptrata,296
Podalyria_cordata,46
Podalyria_myrtillifolia,262
Podalyria_sericea,281
Podolobium_ilicifolium,4393
Poecilanthe_falcata,36
Poecilanthe_parviflora,58
Poecilanthe_ulei,120
Poiretia_punctata,268
Poitea_punicea,43
Pongamia_pinnata,1655
Prosopis_affinis,179
Prosopis_africana,1954
Prosopis_alba,434
Prosopis_articulata,186
Prosopis_chilensis,304
Prosopis_cineraria,125
Prosopis_farcta,743
Prosopis_ferox,58
Prosopis_flexuosa,248
Prosopis_glandulosa,8931
Prosopis_juliflora,2557
Prosopis_kuntzei,92
Prosopis_laevigata,1166
Prosopis_nigra,188
Prosopis_pallida,1075
Prosopis_pubescens,1542
Prosopis_ruscifolia,117
Prosopis_tamarugo,59
Prosopis_velutina,1972
Pseudarthria_hookeri,850
Pseudarthria_viscida,113
Pseudopiptadenia_contorta,235
Pseudopiptadenia_psilostachya,107
Pseudovigna_argentea,44
Psophocarpus_lancifolius,37
Psophocarpus_palustris,109
Psophocarpus_scandens,158
Psophocarpus_tetragonolobus,320
Psoralea_aculeata,120
Psoralea_affinis,144
Psoralea_alata,60
Psoralea_aphylla,146
Psoralea_asarina,82
Psoralea_ensifolia,48
Psoralea_imbricata,93
Psoralea_laxa,84
Psoralea_monophylla,53
Psoralea_oligophylla,66
Psoralea_pinnata,844
Psoralea_repens,103
Psoralea_restioides,129
Psoralea_verrucosa,81
Psorothamnus_arborescens,805
Psorothamnus_emoryi,1200
Psorothamnus_fremontii,559
Psorothamnus_schottii,1266
Psorothamnus_scoparius,283
Psorothamnus_spinosus,1233
Pterocarpus_acapulcensis,368
Pterocarpus_amazonum,274
Pterocarpus_angolensis,654
Pterocarpus_indicus,562
Pterocarpus_macrocarpus,887
Pterocarpus_marsupium,59
Pterocarpus_officinalis,465
Pterocarpus_osun,43
Pterocarpus_rohrii,982
Pterocarpus_rotundifolius,320
Pterocarpus_santalinoides,1170
Pterocarpus_santalinus,38
Pterocarpus_soyauxii,304
Pterodon_abruptus,110
Pterodon_emarginatus,731
Pterogyne_nitens,553
Pterolobium_stellatum,133
Ptycholobium_biflorum,160
Ptycholobium_contortum,63
Ptycholobium_plicatum,44
Pueraria_montana,9267
Pultenaea_acerosa,594
Pultenaea_altissima,211
Pultenaea_blakelyi,289
Pultenaea_capitellata,136
Pultenaea_daphnoides,5428
Pultenaea_densifolia,284
Pultenaea_flexilis,1178
Pultenaea_foliolosa,925
Pultenaea_involucrata,255
Pultenaea_largiflorens,1665
Pultenaea_laxiflora,870
Pultenaea_microphylla,1359
Pultenaea_myrtoides,441
Pultenaea_ochreata,54
Pultenaea_paleacea,576
Pultenaea_procumbens,976
Pultenaea_reticulata,284
Pultenaea_retusa,2050
Pultenaea_scabra,2417
Pultenaea_stipularis,435
Pultenaea_tenuifolia,1441
Pultenaea_verruculosa,178
Pultenaea_villosa,2100
Pycnospora_lutescens,677
Rafnia_amplexicaulis,98
Rafnia_angulata,134
Rafnia_capensis,202
Rafnia_crassifolia,29
Rafnia_diffusa,31
Rafnia_elliptica,49
Rafnia_racemosa,40
Rafnia_triflora,74
Ramirezella_strobilophora,177
Requienia_sphaerosperma,92
Retama_monosperma,942
Retama_raetam,1444
Retama_sphaerocarpa,15770
Rhynchosia_acuminatissima,172
Rhynchosia_adenodes,132
Rhynchosia_albissima,62
Rhynchosia_angulosa,29
Rhynchosia_aurea,25
Rhynchosia_capensis,55
Rhynchosia_caribaea,274
Rhynchosia_ciliata,42
Rhynchosia_clivorum,78
Rhynchosia_cooperi,44
Rhynchosia_densiflora,170
Rhynchosia_diversifolia,76
Rhynchosia_fleckii,71
Rhynchosia_himalensis,86
Rhynchosia_hirsuta,48
Rhynchosia_holosericea,41
Rhynchosia_insignis,32
Rhynchosia_luteola,55
Rhynchosia_minima,6208
Rhynchosia_monophylla,220
Rhynchosia_nervosa,142
Rhynchosia_nitens,69
Rhynchosia_nyasica,75
Rhynchosia_pentheri,61
Rhynchosia_phaseoloides,557
Rhynchosia_procurrens,54
Rhynchosia_pyramidalis,189
Rhynchosia_reniformis,431
Rhynchosia_reptabunda,75
Rhynchosia_resinosa,110
Rhynchosia_reticulata,484
Rhynchosia_rothii,165
Rhynchosia_rufescens,37
Rhynchosia_senna,792
Rhynchosia_sordida,88
Rhynchosia_sublobata,352
Rhynchosia_tomentosa,289
Rhynchosia_totta,643
Rhynchosia_velutina,25
Rhynchosia_villosa,33
Rhynchosia_volubilis,816
Riedeliella_graciliflora,88
Robinia_hispida,1353
Robinia_pseudoacacia,98949
Robinia_viscosa,385
Rothia_hirsuta,87
Rothia_indica,73
Samanea_inopinata,73
Saraca_asoca,127
Schizolobium_parahyba,799
Schleinitzia_insularum,12
Schotia_brachypetala,550
Schotia_capitata,137
Schotia_latifolia,216
Scorodophloeus_zenkeri,297
Scorpiurus_muricatus,6714
Scorpiurus_vermiculatus,834
Senna_aculeata,95
Senna_alexandrina,329
Senna_aphylla,253
Senna_appendiculata,55
Senna_auriculata,265
Senna_aversiflora,106
Senna_bacillaris,699
Senna_barclayana,539
Senna_bauhinioides,647
Senna_bicapsularis,741
Senna_cana,430
Senna_candolleana,167
Senna_chrysocarpa,180
Senna_corymbosa,409
Senna_covesii,1391
Senna_cumingii,112
Senna_didymobotrya,2661
Senna_floribunda,250
Senna_fruticosa,560
Senna_gardneri,74
Senna_holosericea,76
Senna_italica,1296
Senna_latifolia,226
Senna_lindheimeriana,1569
Senna_marilandica,1458
Senna_multiglandulosa,854
Senna_multijuga,1312
Senna_nitida,48
Senna_obtusifolia,7038
Senna_occidentalis,7818
Senna_oxyphylla,67
Senna_pallida,1796
Senna_pendula,4560
Senna_petersiana,368
Senna_pilifera,337
Senna_pinheiroi,72
Senna_polyantha,241
Senna_quinquangulata,594
Senna_racemosa,609
Senna_reniformis,151
Senna_reticulata,851
Senna_septemtrionalis,2037
Senna_silvestris,1118
Senna_singueana,454
Senna_sophera,472
Senna_spectabilis,2838
Senna_splendida,539
Senna_sulfurea,82
Senna_surattensis,249
Senna_tapajozensis,103
Senna_tora,2617
Senna_uniflora,1278
Senna_velutina,347
Senna_wislizeni,775
Sesbania_benthamiana,121
Sesbania_bispinosa,393
Sesbania_cannabina,2176
Sesbania_cinerascens,49
Sesbania_drummondii,1235
Sesbania_erubescens,88
Sesbania_exasperata,260
Sesbania_formosa,252
Sesbania_goetzei,20
Sesbania_grandiflora,207
Sesbania_greenwayi,27
Sesbania_herbacea,2646
Sesbania_javanica,43
Sesbania_leptocarpa,223
Sesbania_longifolia,49
Sesbania_macrantha,173
Sesbania_microphylla,57
Sesbania_pachycarpa,227
Sesbania_punicea,1685
Sesbania_rostrata,132
Sesbania_sericea,176
Sesbania_sesban,865
Sesbania_tomentosa,70
Sesbania_virgata,547
Shuteria_involucrata,36
Sindora_siamensis,77
Smithia_ciliata,103
Smithia_conferta,96
Smithia_erubescens,57
Smithia_sensitiva,320
Sophora_albescens,28
Sophora_alopecuroides,387
Sophora_chrysophylla,494
Sophora_davidii,198
Sophora_flavescens,1779
Sophora_howinsula,11
Sophora_inhambanensis,25
Sophora_microphylla,1612
Sophora_mollis,44
Sophora_moorcroftiana,49
Sophora_nuttalliana,929
Sophora_prostrata,341
Sophora_tetraptera,92
Sophora_tomentosa,959
Sophora_velutina,85
Spartium_junceum,14552
Spatholobus_parviflorus,100
Sphaerolobium_alatum,135
Sphaerolobium_grandiflorum,96
Sphaerolobium_medium,498
Sphaerophysa_salsula,623
Sphenostylis_angustifolia,258
Sphenostylis_marginata,91
Sphenostylis_stenocarpa,138
Strongylodon_lucidus,137
Strongylodon_macrobotrys,93
Strophostyles_leiosperma,845
Strophostyles_umbellata,1484
Stryphnodendron_adstringens,500
Stryphnodendron_guianense,130
Stryphnodendron_microstachyum,115
Stryphnodendron_polystachyum,50
Stryphnodendron_pulcherrimum,405
Stryphnodendron_racemiferum,26
Stylosanthes_angustifolia,210
Stylosanthes_biflora,2083
Stylosanthes_bracteata,49
Stylosanthes_calcicola,35
Stylosanthes_capitata,528
Stylosanthes_erecta,347
Stylosanthes_fruticosa,928
Stylosanthes_guianensis,2752
Stylosanthes_hamata,1162
Stylosanthes_humilis,1033
Stylosanthes_leiocarpa,81
Stylosanthes_macrocarpa,26
Stylosanthes_macrocephala,200
Stylosanthes_mexicana,29
Stylosanthes_montevidensis,170
Stylosanthes_ruellioides,56
Stylosanthes_scabra,1194
Stylosanthes_sympodialis,45
Stylosanthes_viscosa,1271
Styphnolobium_japonicum,2132
Swainsona_burkittii,111
Swainsona_campylantha,611
Swainsona_canescens,345
Swainsona_fissimontana,107
Swainsona_flavicarinata,338
Swainsona_formosa,849
Swainsona_forrestii,36
Swainsona_galegifolia,2675
Swainsona_greyana,290
Swainsona_incei,40
Swainsona_kingii,154
Swainsona_leeana,46
Swainsona_lessertiifolia,546
Swainsona_maccullochiana,57
Swainsona_microphylla,515
Swainsona_oroboides,480
Swainsona_phacoides,987
Swainsona_procumbens,1226
Swainsona_pterostylis,158
Swainsona_stipularis,381
Swainsona_swainsonioides,505
Swartzia_acutifolia,76
Swartzia_apetala,491
Swartzia_arborescens,405
Swartzia_auriculata,91
Swartzia_bahiensis,35
Swartzia_benthamiana,85
Swartzia_corrugata,17
Swartzia_cuspidata,56
Swartzia_flaemingii,151
Swartzia_grandifolia,104
Swartzia_guianensis,30
Swartzia_laevicarpa,156
Swartzia_langsdorffii,44
Swartzia_latifolia,58
Swartzia_laurifolia,82
Swartzia_laxiflora,30
Swartzia_leptopetala,196
Swartzia_longistipitata,26
Swartzia_macrostachya,198
Swartzia_myrtifolia,270
Swartzia_oblanceolata,51
Swartzia_panacoco,138
Swartzia_polyphylla,226
Swartzia_recurva,121
Swartzia_reticulata,39
Swartzia_schomburgkii,166
Swartzia_sericea,125
Swartzia_simplex,984
Swartzia_ulei,28
Sweetia_fruticosa,125
Tachigali_cavipes,61
Tachigali_paniculata,453
Tachigali_versicolor,35
Tadehagi_triquetrum,504
Tamarindus_indica,4396
Taralea_cordata,87
Taralea_oppositifolia,280
Taverniera_cuneifolia,33
Templetonia_retusa,999
Templetonia_sulcata,208
Tephrosia_adunca,162
Tephrosia_aequilata,84
Tephrosia_brachyodon,956
Tephrosia_bracteolata,1094
Tephrosia_burchellii,117
Tephrosia_candida,182
Tephrosia_capensis,450
Tephrosia_cinerea,790
Tephrosia_cordata,28
Tephrosia_dietrichiae,42
Tephrosia_dregeana,171
Tephrosia_elata,58
Tephrosia_elongata,183
Tephrosia_filipes,709
Tephrosia_flagellaris,66
Tephrosia_glomeruliflora,156
Tephrosia_grandiflora,217
Tephrosia_juncea,470
Tephrosia_linearis,738
Tephrosia_longipes,234
Tephrosia_lupinifolia,147
Tephrosia_macropoda,150
Tephrosia_multijuga,93
Tephrosia_natalensis,29
Tephrosia_nitens,72
Tephrosia_noctiflora,270
Tephrosia_obovata,35
Tephrosia_paniculata,52
Tephrosia_polystachya,170
Tephrosia_pumila,234
Tephrosia_purpurea,2258
Tephrosia_remotiflora,699
Tephrosia_reptans,53
Tephrosia_rhodesica,139
Tephrosia_rosea,720
Tephrosia_rufula,112
Tephrosia_semiglabra,76
Tephrosia_senna,37
Tephrosia_sessiliflora,99
Tephrosia_shiluwanensis,77
Tephrosia_sinapou,211
Tephrosia_sphaerospora,558
Tephrosia_spicata,571
Tephrosia_subtriflora,51
Tephrosia_supina,367
Tephrosia_uniflora,503
Tephrosia_vestita,61
Tephrosia_vicioides,352
Tephrosia_villosa,324
Tephrosia_virginiana,3259
Tephrosia_vogelii,415
Teramnus_labialis,783
Teramnus_repens,36
Teramnus_uncinatus,787
Teramnus_volubilis,112
Tetraberlinia_bifoliolata,245
Tetraberlinia_moreliana,53
Thermopsis_barbata,94
Thermopsis_inflata,67
Thermopsis_lanceolata,1193
Thermopsis_macrophylla,93
Thermopsis_montana,1400
Thermopsis_villosa,86
Tibetia_himalaica,203
Tipuana_tipu,1341
Trifolium_affine,30
Trifolium_africanum,216
Trifolium_albopurpureum,1022
Trifolium_alexandrinum,1745
Trifolium_alpestre,10456
Trifolium_alpinum,8478
Trifolium_amabile,919
Trifolium_ambiguum,439
Trifolium_angustifolium,16559
Trifolium_argutum,461
Trifolium_arvense,91524
Trifolium_aureum,24817
Trifolium_baccarinii,166
Trifolium_badium,5907
Trifolium_barbigerum,226
Trifolium_beckwithii,86
Trifolium_bejariense,64
Trifolium_bifidum,495
Trifolium_bocconei,1124
Trifolium_boissieri,190
Trifolium_burchellianum,419
Trifolium_campestre,99911
Trifolium_canescens,157
Trifolium_carolinianum,171
Trifolium_cernuum,1348
Trifolium_cherleri,3884
Trifolium_ciliolatum,1092
Trifolium_clusii,360
Trifolium_clypeatum,920
Trifolium_cryptopodium,133
Trifolium_cyathiferum,481
Trifolium_dalmaticum,236
Trifolium_dasyphyllum,593
Trifolium_dasyurum,302
Trifolium_decorum,65
Trifolium_depauperatum,1271
Trifolium_dichotomum,216
Trifolium_diffusum,447
Trifolium_dubium,117604
Trifolium_echinatum,389
Trifolium_fragiferum,27940
Trifolium_fucatum,447
Trifolium_glanduliferum,230
Trifolium_globosum,89
Trifolium_glomeratum,12253
Trifolium_gracilentum,818
Trifolium_grandiflorum,307
Trifolium_haydenii,110
Trifolium_hirtum,5020
Trifolium_hybridum,85264
Trifolium_incarnatum,36836
Trifolium_isthmocarpum,360
Trifolium_kingii,94
Trifolium_lappaceum,2420
Trifolium_leucanthum,343
Trifolium_ligusticum,1202
Trifolium_longipes,1927
Trifolium_lupinaster,3849
Trifolium_mattirolianum,85
Trifolium_medium,87603
Trifolium_michelianum,425
Trifolium_micranthum,4206
Trifolium_microcephalum,1624
Trifolium_microdon,304
Trifolium_nanum,363
Trifolium_nigrescens,3210
Trifolium_obscurum,73
Trifolium_oliganthum,244
Trifolium_ornithopodioides,1112
Trifolium_palaestinum,122
Trifolium_pallescens,1484
Trifolium_pallidum,459
Trifolium_pannonicum,228
Trifolium_parryi,562
Trifolium_patens,1526
Trifolium_pauciflorum,198
Trifolium_physodes,518
Trifolium_plebeium,49
Trifolium_polymorphum,181
Trifolium_polyphyllum,72
Trifolium_polystachyum,66
Trifolium_pratense,301947
Trifolium_pseudostriatum,50
Trifolium_quartinianum,45
Trifolium_reflexum,385
Trifolium_repens,350382
Trifolium_resupinatum,13103
Trifolium_retusum,520
Trifolium_rubens,8980
Trifolium_rueppellianum,188
Trifolium_scabrum,12219
Trifolium_scutatum,150
Trifolium_semipilosum,261
Trifolium_simense,169
Trifolium_spadiceum,9133
Trifolium_spumosum,894
Trifolium_squamosum,1890
Trifolium_squarrosum,309
Trifolium_stellatum,10270
Trifolium_steudneri,90
Trifolium_stoloniferum,92
Trifolium_striatum,14144
Trifolium_strictum,1622
Trifolium_subterraneum,13975
Trifolium_suffocatum,1417
Trifolium_sylvaticum,217
Trifolium_tembense,197
Trifolium_thalii,2781
Trifolium_tomentosum,6131
Trifolium_tumens,46
Trifolium_uniflorum,226
Trifolium_usambarense,96
Trifolium_variegatum,1470
Trifolium_vesiculosum,1154
Trifolium_willdenovii,3706
Trifolium_wormskioldii,1815
Trigonella_anguina,54
Trigonella_arabica,348
Trigonella_balansae,232
Trigonella_berythea,107
Trigonella_caelesyriaca,74
Trigonella_caerulea,473
Trigonella_cylindracea,103
Trigonella_emodi,84
Trigonella_glabra,58
Trigonella_gladiata,1088
Trigonella_spruneriana,35
Trigonella_stellata,546
Trigonella_suavissima,690
Tripodion_tetraphyllum,3957
Tylosema_esculentum,102
Ulex_europaeus,72447
Ulex_gallii,6685
Uraria_crinita,536
Uraria_lagopodioides,1681
Uraria_picta,804
Uraria_rufescens,61
Vandasina_retusa,143
Vatairea_erythrocarpa,74
Vatairea_guianensis,153
Vatairea_heteroptera,33
Vataireopsis_araroba,32
Vicia_acutifolia,549
Vicia_americana,8604
Vicia_amoena,2043
Vicia_amurensis,713
Vicia_articulata,734
Vicia_benghalensis,3189
Vicia_biennis,276
Vicia_bithynica,2974
Vicia_bungei,226
Vicia_caroliniana,1712
Vicia_cassubica,5982
Vicia_cracca,214467
Vicia_disperma,1579
Vicia_dumetorum,3158
Vicia_ervilia,1533
Vicia_faba,28866
Vicia_floridana,110
Vicia_graminea,132
Vicia_grandiflora,3347
Vicia_hirsuta,79843
Vicia_hybrida,4720
Vicia_hyrcanica,165
Vicia_lathyroides,13070
Vicia_linearifolia,24
Vicia_ludoviciana,2966
Vicia_lutea,8771
Vicia_melanops,553
Vicia_minutiflora,212
Vicia_monantha,1850
Vicia_nana,24
Vicia_narbonensis,1926
Vicia_nipponica,216
Vicia_ochroleuca,78
Vicia_palaestina,773
Vicia_pannonica,5303
Vicia_parviflora,2691
Vicia_peregrina,4299
Vicia_pisiformis,2727
Vicia_pseudo-orobus,659
Vicia_pubescens,4185
Vicia_pulchella,487
Vicia_ramuliflora,733
Vicia_sativa,141143
Vicia_sepium,155922
Vicia_serratifolia,556
Vicia_sicula,35
Vicia_sylvatica,22509
Vicia_tenuifolia,15735
Vicia_tetrasperma,46242
Vicia_unijuga,3797
Vicia_venosa,767
Vicia_villosa,36517
Vigna_aconitifolia,109
Vigna_angularis,1235
Vigna_comosa,208
Vigna_dalzelliana,96
Vigna_frutescens,557
Vigna_gazensis,57
Vigna_hosei,151
Vigna_juncea,40
Vigna_khandalensis,39
Vigna_lanceolata,2241
Vigna_lasiocarpa,236
Vigna_longifolia,184
Vigna_luteola,3276
Vigna_marina,614
Vigna_minima,427
Vigna_monophylla,75
Vigna_multinervis,230
Vigna_mungo,501
Vigna_oblongifolia,419
Vigna_parkeri,288
Vigna_pygmaea,64
Vigna_radiata,2592
Vigna_reflexopilosa,156
Vigna_subterranea,1104
Vigna_trilobata,223
Vigna_triphylla,25
Vigna_umbellata,517
Vigna_unguiculata,7580
Viminaria_juncea,1786
Virgilia_divaricata,158
Virgilia_oroboides,225
Vouacapoua_americana,114
Vouacapoua_pallidior,17
Wallaceodendron_celebicum,34
Wiborgia_monoptera,58
Wiborgia_mucronata,54
Wiborgia_obcordata,128
Wisteria_brachybotrys,389
Wisteria_floribunda,1952
Wisteria_frutescens,833
Wisteria_sinensis,2528
Xanthocercis_madagascariensis,101
Xylia_torreana,30
Xylia_xylocarpa,352
Zapoteca_formosa,1299
Zenkerella_citrina,40
Zollernia_glabra,72
Zollernia_ilicifolia,175
Zollernia_paraensis,39
Zornia_brasiliensis,198
Zornia_capensis,348
Zornia_curvata,148
Zornia_diphylla,380
Zornia_gibbosa,236
Zornia_glabra,97
Zornia_linearis,92
Zornia_milneana,163
Zornia_pratensis,64
Zornia_reticulata,956
Zygia_cataractae,494
Zygia_cauliflora,334
Zygia_inaequalis,416
Zygia_juruana,58
Zygia_latifolia,538
Zygia_longifolia,687
