"Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count"
"Astragalus podocarpus",0,1,0,0,1.7e+12,36.47247655,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,36.47247655,0,0,0,"Astragalus podocarpus","Astragalus podocarpus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4618
"Astragalus politovii",0,1,0,0,6.35e+12,52.02158793,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,52.02158793,0,0,0,"Astragalus politovii","Astragalus politovii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3896
"Astragalus ponticus",0,1,0,0,8.38e+12,45.9121057,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,45.9121057,0,0,0,"Astragalus ponticus","Astragalus ponticus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4191
"Astragalus purshii",0,1,0,0,2.84e+12,42.73888817,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,42.73888817,0,0,0,"Astragalus purshii","Astragalus purshii","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,3918
"Astragalus reflexistipulus",0,1,0,0,3.71e+11,37.60209081,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,37.60209081,0,0,1,"Astragalus reflexistipulus","Astragalus reflexistipulus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3896
"Astragalus robbinsii",0,1,0,0,1.97e+12,44.19936676,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,44.19936676,0,0,0,"Astragalus robbinsii","Astragalus robbinsii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3905
"Astragalus roemeri",0,1,0,0,2.37e+11,45.84359796,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,45.84359796,0,0,0,"Astragalus roemeri","Astragalus roemeri","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3929
"Astragalus rusbyi",0,1,0,0,2.94e+11,34.29669616,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,34.29669616,0,0,0,"Astragalus rusbyi","Astragalus rusbyi","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3916
"Astragalus saccocalyx",0,1,0,0,4.36e+12,44.64160545,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,44.64160545,1,0,0,"Astragalus saccocalyx","Astragalus saccocalyx","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3921
"Astragalus scaberrimus",0,1,0,0,1.25e+13,47.07382447,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,47.07382447,0,0,1,"Astragalus scaberrimus","Astragalus scaberrimus","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,3899
"Astragalus sempervirens",0,1,0,0,1.44e+12,41.61067814,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,41.61067814,1,0,0,"Astragalus sempervirens","Astragalus sempervirens","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4810
"Astragalus sesameus",1,1,1,7.69e+12,5.74e+12,38.30888274,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,38.30888274,0,1,0,"Astragalus sesameus","Astragalus sesameus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3896
"Astragalus sikkimensis",0,1,0,0,5.21e+11,26.91950326,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,26.91950326,0,0,0,"Astragalus sikkimensis","Astragalus sikkimensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4021
"Astragalus siliquosus",0,1,0,0,3.21e+12,34.77239125,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,34.77239125,0,0,0,"Astragalus siliquosus","Astragalus siliquosus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3903
"Astragalus sinicus",0,1,0,0,3.44e+12,26.06009224,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,26.06009224,0,0,1,"Astragalus sinicus","Astragalus sinicus","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,6,6,0,"Y","N",0,NA,0,4179
"Astragalus spatulatus",0,1,0,0,1.92e+12,43.54344311,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,43.54344311,0,0,0,"Astragalus spatulatus","Astragalus spatulatus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3907
"Astragalus steinbergianus",0,1,0,0,4.36e+12,44.64160545,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,44.64160545,0,0,0,"Astragalus steinbergianus","Astragalus steinbergianus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3896
"Astragalus stenoceras",0,1,0,0,1.41e+13,48.55747679,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,48.55747679,0,0,1,"Astragalus stenoceras","Astragalus stenoceras","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3914
"Astragalus stevenianus",0,1,0,0,1.25e+13,49.97005713,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,49.97005713,0,0,2,"Astragalus stevenianus","Astragalus stevenianus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3898
