"","nat_species","nat_intrdcd","nat_n","nat_precip_maxquant","nat_precip_minquant","nat_precip_mean","nat_precip_median","nat_nitro_maxquant","nat_nitro_minquant","nat_nitro_mean","nat_nitro_median","nat_temp_maxquant","nat_temp_minquant","nat_temp_mean","nat_temp_median","nat_max_lat","nat_min_lat","nat_mean_lat","nat_median_lat","nat_quant95","nat_quant005","nat_precip_range","nat_temp_range","nat_nitro_range","nat_abs_med_lat","nat_Phy","nat_introduced","nat_native","nat_num_introduced","nat_total_area_introduced","nat_total_area_native","nat_lat_native","nat_tribe","nat_genus","nat_subfamily","nat_tribe_ncbi","nat_fixer","nat_abs_lat_native","nat_woody","nat_annual","nat_uses_num_uses","nat_submitted_name","nat_matched_name","nat_data_source_title","nat_score","nat_num_words","nat_diff","nat_RangeY","nat_domY","nat_efnY","nat_n.records","nat_sum.AM","nat_sum.EM","nat_AM","nat_EM","nat_EFN","nat_matched_name_EFN","nat_Domatia","nat_Count"
"69","Ceratonia_siliqua",0,11999,799,320,512.998333194433,489,230,112,157.600466705559,148,18.3791656494141,13.8041667938232,16.2503285022545,16.3916664123535,50.631537,24.55568,38.3863657348946,38.852184,42.0919964,32.7413293,479,4.5749988555909,118,38.852184,"Ceratonia siliqua",1,1,27,2.51e+13,7.38e+12,37.31794972,"Cassieae","Ceratonia","Mimosoideae","Cassieae","0",37.31794972,1,0,7,"Ceratonia siliqua","Ceratonia siliqua","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,2,0,"Y","N","0",NA,"0",652
"70","Cercis_siliquastrum",0,6249,1018.6,549,768.611457833253,755,388,139,228.853736597856,215,15.9208335876465,10.3374996185303,12.9839027558428,12.8625001907349,50.788876,29.686394,44.1984722152344,44.214289,48.814297,37.905192,469.599999999999,5.5833339691162,249,44.214289,"Cercis siliquastrum",1,1,21,1.5e+13,5.14e+12,39.40398144,"Cercideae","Cercis","Cercidoideae","Cercideae","0",39.40398144,1,0,4,"Cercis siliquastrum","Cercis siliquastrum","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N","0",NA,"0",302
"71","Chamaecrista_fasciculata",0,6542,1486,752,1097.7560379089,1069,972,89,276.603943748089,164,21.9247909545898,7.8793749332428,15.2134330632744,14.7479166984558,47.456331,25.438901,35.4927445317946,35.9278675,42.92857435,28.33355775,734,14.045416021347,883,35.9278675,"Chamaecrista fasciculata",1,1,1,2055545262,1.22e+13,38.59928601,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae","1",38.59928601,0,1,0,"Chamaecrista fasciculata","Chamaecrista fasciculata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"1","Chamaecrista fasciculata","0",1295
"72","Chamaecrista_nictitans",0,3946,2596.75,506.5,1385.21718195641,1300,971,101,303.351241763811,207,26.6822924613952,11.0249998569489,20.6822921855161,21.7354164123535,43.1455,-32.004056,13.4682423598834,18.231873,40.12105825,-23.37937475,2090.25,15.6572926044464,870,18.231873,"Chamaecrista nictitans",1,1,5,2.16e+12,1.37e+13,15.47217365,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae","1",15.47217365,1,0,1,"Chamaecrista nictitans","Chamaecrista nictitans","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,0,"Y","N","1","Chamaecrista nictitans","0",387
"73","Chamaecrista_rotundifolia",0,1080,2442.25,689.85,1351.66203703704,1325,327.05,105.95,182.786111111111,165,26.9420842170715,18.1618753433227,22.6623996663977,22.8604164123535,25.539722,-33.65,-8.68546402037037,-13.54473,21.333,-25.7541665,1752.4,8.78020887374881,221.1,13.54473,"Chamaecrista rotundifolia",1,0,5,1.36e+12,0,NA,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae","1",NA,0,0,0,"Chamaecrista rotundifolia","Chamaecrista rotundifolia","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N","0",NA,"0",1266
"74","Cicer_arietinum",0,164,746.7,113,328.786585365854,279,226.55,62.05,141.451219512195,138,23.1672924995422,9.4297917842865,15.7900914477139,15.427083492279,38.933333,26.4,34.475960652439,35.281666,38.42438245,28.72033305,633.7,13.7375007152557,164.5,35.281666,"Cicer arietinum",1,1,48,7.41e+13,7.46e+12,21.96767801,"Cicereae","Cicer","Papilionoideae","Cicereae","1",21.96767801,0,1,6,"Cicer arietinum","Cicer arietinum","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,6,6,0,"Y","N","0",NA,"0",3977
"75","Clitoria_falcata",0,412,3026.55,1153.3,1916.91504854369,1813.5,471.7,120.2,238.655339805825,214.5,26.9256256103516,17.5681255340576,23.8734830004498,24.9270839691162,22.909878,-30.226667,-1.03746265048544,2.08903,19.05,-23.7815829,1873.25,9.3575000762939,351.5,2.08903,"Clitoria falcata",1,1,7,4.64e+12,1.25e+13,6.15181536,"Phaseoleae","Clitoria","Papilionoideae","Phaseoleae","1",6.15181536,0,0,4,"Clitoria falcata","Clitoria falcata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",1408
"76","Clitoria_laurifolia",0,117,2459.4,736.2,1545.30769230769,1440,338.8,109,188.931623931624,175,26.0108325958252,19.4774993896484,23.7830484504374,24.4375,8,-27.577222,-12.2118119059829,-12.33,3.1833336,-22.9443892,1723.2,6.53333320617678,229.8,12.33,"Clitoria laurifolia",1,1,17,9.87e+12,5.92e+12,3.49720033,"Phaseoleae","Clitoria","Papilionoideae","Phaseoleae","1",3.49720033,1,0,4,"Clitoria laurifolia","Clitoria laurifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",1008
"77","Clitoria_ternatea",0,474,2665,274.95,1468.76582278481,1386,401,78,189.092827004219,171.5,27.4954167366028,20.3658334732056,23.8704377347407,23.4916667938232,29.8,-25.625,12.018575628692,21.222304,24.6580164,-20.21524185,2390.05,7.12958326339717,323,21.222304,"Clitoria ternatea",1,1,79,4.47e+13,2.13e+13,1.79242466,"Phaseoleae","Clitoria","Papilionoideae","Phaseoleae","1",1.79242466,0,0,8,"Clitoria ternatea","Clitoria ternatea","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,9,9,0,"Y","N","0",NA,"0",831
"78","Colutea_arborescens",0,7704,1116,411,733.68743509865,711,478,124,242.522196261682,211,15.2166670322419,8.11791677474976,11.1744634823628,10.8062500953674,54.512384,36.4387274,45.477478542095,45.255795,51.924957,38.59899224,705,7.0987502574921,354,45.255795,"Colutea arborescens",1,1,16,1.17e+13,2.67e+12,41.85513442,"Galegeae","Colutea","Papilionoideae","Galegeae","1",41.85513442,1,0,1,"Colutea arborescens","Colutea arborescens","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",1000
