"","species","intrdcd","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","quant95","quant005","precip_range","temp_range","nitro_range","Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count"
"239","Trifolium_hybridum",1,58515,1177,527,746.003041955054,695,722,185,398.914825258481,364,10.1875,2.17083334922791,6.79736378206109,6.87083339691162,70.2171,-51.48556,54.609184074492,54.622937,62.4314496,47.322639,650,8.01666665077209,537,"Trifolium hybridum",1,1,29,4.15e+13,2.73e+13,46.91618491,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",46.91618491,0,0,3,"Trifolium hybridum","Trifolium hybridum","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,7,6,0,"Y","N","0",NA,0,4226
"240","Trifolium_incarnatum",1,1491,1576.5,476,1076.26022803488,1088,479,91,209.588195841717,177,18.1937494277955,7.26666665077209,13.8661441043429,14.4833335876465,59.525682,-46.2843,32.0361909613011,37.668963,47.362641,-35.155831,1100.5,10.9270827770234,388,"Trifolium incarnatum",1,1,28,3.16e+13,5.03e+12,45.14121498,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",45.14121498,0,1,2,"Trifolium incarnatum","Trifolium incarnatum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,4155
"241","Trifolium_lappaceum",1,84,1545.55,721.75,1240.21428571429,1326,200.7,77.8,126.380952380952,106.5,20.447083568573,11.4014580726624,17.7129960854848,17.8958339691162,51.25144,-36.4167,29.166780797619,32.332418,48.6511870499999,-21.9727367,823.8,9.04562549591065,122.9,"Trifolium lappaceum",1,1,2,5.16e+12,1.1e+13,37.74679038,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",37.74679038,0,1,2,"Trifolium lappaceum","Trifolium lappaceum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,4389
"242","Trifolium_leucanthum",1,58,901.15,634.8,744.655172413793,711.5,435.05,147,246.258620689655,215,13.5541669368744,10.3581246852875,12.0696120673213,12.145833492279,48.8053,42.66272,43.72269,43.62539,45.7995075,42.668452,266.35,3.19604225158689,288.05,"Trifolium leucanthum",1,1,1,5.39e+11,5.56e+12,40.22456707,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",40.22456707,0,1,0,"Trifolium leucanthum","Trifolium leucanthum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,4066
"243","Trifolium_medium",1,39,1279.7,407.7,700.25641025641,505,523.9,253.8,361.282051282051,352,14.2383330345154,-2.80833334922791,2.6133547123426,0.470833390951157,59.6236,-43.25,37.854324051282,51.709543,56.56051,-40.5730773,872,17.0466663837433,270.1,"Trifolium medium",1,1,4,1.22e+13,2.71e+13,49.85661054,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",49.85661054,0,0,3,"Trifolium medium","Trifolium medium","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,20,20,0,"Y","N","0",NA,0,222359
"244","Trifolium_micranthum",1,59,2140.2,687.8,1224.5593220339,1070,652.7,190.9,353.728813559322,308,19.7495832443238,9.48833322525025,13.3639829845752,12.3666667938232,7.0758,-45.811722,-29.7007124186441,-40.9025586,5.7592447,-43.61524353,1452.4,10.2612500190735,461.8,"Trifolium micranthum",1,1,5,6.52e+12,1.08e+13,40.98117311,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",40.98117311,0,1,0,"Trifolium micranthum","Trifolium micranthum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,4209
"245","Trifolium_nigrescens",1,25,1530.6,910.6,1366.88,1422,131.6,70,108.92,106,18.7724998474121,14.9091663360596,17.5775,17.9208335876465,34.490883,-34.982057,26.7612166,31.804379,33.1852432,-21.1942592,620,3.86333351135256,61.6,"Trifolium nigrescens",1,1,1,6.33e+11,8.93e+12,37.34547043,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",37.34547043,0,1,1,"Trifolium nigrescens","Trifolium nigrescens","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,4780
"246","Trifolium_ornithopodioides",1,199,910.4,395,627.788944723618,622,320,110,222.281407035176,234,16.1804166793823,10.8783332824707,13.8427135405229,13.8999996185303,-29.9167,-45.874876,-38.2238602060302,-37.4667,-34.7752095,-43.7321313,515.4,5.30208339691157,210,"Trifolium ornithopodioides",1,1,6,7.55e+12,5.42e+12,42.88993222,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",42.88993222,0,1,0,"Trifolium ornithopodioides","Trifolium ornithopodioides","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,4039
"247","Trifolium_pratense",1,11817,1653,432,1012.95447237031,982,623,133,313.521536769062,281,15.6625003814697,2.60666666030884,9.34272340894789,9.18333339691162,65.720977,-51.594056,30.9404095452314,41.275738,47.8286186,-38.468758,1221,13.0558337211609,490,"Trifolium pratense",1,1,27,5.84e+13,3.82e+13,40.12460519,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",40.12460519,0,0,7,"Trifolium pratense","Trifolium pratense","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,44,43,0,"Y","N","0",NA,0,4528
"248","Trifolium_repens",1,24154,1721.35,431,1028.60515856587,967.5,548,114,271.780781651072,247,18.6000003814697,4.9375,12.2944417403496,12.9041662216187,65.5639,-54.882277,2.42478641071872,4.7462445,45.69522085,-39.3266828,1290.35,13.6625003814697,434,"Trifolium repens",1,1,39,6.31e+13,4.12e+13,41.5648251,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",41.5648251,0,0,8,"Trifolium repens","Trifolium repens","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,51,51,0,"Y","N","0",NA,0,6098
