"","X.1","X","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","quant95","quant005","precip_range","temp_range","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count","species.y","nitro_range","log_temp_range","log_precip_range","log_nitro_range"
"2359",2492,742,"Chamaecrista_nomame",1450,2025.85,744.35,1329.17862068966,1296,439,75,227.899310344828,220,27.3083324432373,8.79458360671997,16.4648132049626,15.0145831108094,43.89835,-32.902703,12.1892355144828,33.4347635,38.19147365,-29.5994229,1281.5,18.5137488365173,0,1,0,0,1.07e+13,18.86725635,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae",1,18.86725635,0,0,3,"Chamaecrista nomame","Chamaecrista nomame","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,332,"Chamaecrista nomame",364,2.91851363641479,7.15578654580413,5.89715386763674
"2360",2493,740,"Chamaecrista_negrensis",54,3383.45,1891.8,2490.94444444444,2367.5,267.65,131,183.981481481481,175,27.4470826148987,24.854167175293,26.4657407689978,26.7104167938232,7.0758,-7.204003,-0.0536059259259259,-0.145833,5.885831,-5.40104155,1491.65,2.59291543960565,0,0,0,0,0,NA,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae",1,NA,1,0,0,"Chamaecrista negrensis","Chamaecrista negrensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,317,"Chamaecrista negrensis",136.65,0.95278289499726,7.30763816879407,4.91742291237408
"2361",2494,739,"Chamaecrista_neesiana",115,1683.6,1036.9,1430.28695652174,1479,193,128.7,157.608695652174,157,23.1983337402344,18.2970830917358,20.9612318785294,21.029167175293,-12,-20.369722,-17.676268553913,-17.7456583,-15.75525,-19.3308712,646.7,4.90125064849857,0,0,0,0,0,NA,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae",1,NA,1,0,0,"Chamaecrista neesiana","Chamaecrista neesiana","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,349,"Chamaecrista neesiana",64.3,1.58949040693729,6.47188250845255,4.16355963124357
"2362",2495,737,"Chamaecrista_leschenaultiana",233,2535.4,883.4,1560.05150214592,1544,349,117.6,205.450643776824,188,25.3675003051758,14.9691667556763,19.444241769324,19.4500007629395,32.78,-7.8435,23.6230729227468,24.814083,29.72,14.2740002,1652,10.3983335494995,1,1,2,2.12e+12,9.22e+12,8.51829192,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae",1,8.51829192,1,0,1,"Chamaecrista leschenaultiana","Chamaecrista leschenaultiana","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,308,"Chamaecrista leschenaultiana",231.4,2.34164555768318,7.40974195408092,5.44414781475958
"2363",2496,736,"Chamaecrista_kunthiana",299,2998.7,1049.6,1831.30100334448,1661,525,116,249.535117056856,225,27.2012498855591,20.5037498474121,24.4543059996538,25.0249996185303,22.5549,-20.815833,4.90280773478261,10.083,19.4256906,-16.97378988,1949.1,6.69750003814697,0,0,0,0,0,NA,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae",1,NA,0,0,0,"Chamaecrista kunthiana","Chamaecrista kunthiana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,329,"Chamaecrista kunthiana",409,1.90173432813233,7.57512300655459,6.0137151560428
"2364",2497,735,"Chamaecrista_kirkii",266,2217.25,879.25,1515.26315789474,1510,480.5,96,245.631578947368,204.5,26.440625667572,16.565625667572,22.1086779250238,22.7854166030884,11.794618,-16.966667,0.576016296992481,0.6833335,7.82499975,-9.283333,1338,9.87500000000002,0,1,0,0,1.04e+13,5.4953321,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae",1,5.4953321,0,1,0,"Chamaecrista kirkii","Chamaecrista kirkii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,481,"Chamaecrista kirkii",384.5,2.29000631078719,7.19893124068817,5.9519437889457
"2365",2498,734,"Chamaecrista_isidorea",56,1704.25,1480.75,1589.92857142857,1564,180,129.5,155.785714285714,156,24.8083324432373,20.1489582061768,22.7453869070326,23.125,-12,-18.013333,-15.1179372589286,-14.6184915,-13.517083,-17.8175,223.5,4.65937423706053,0,0,0,0,0,NA,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae",1,NA,1,0,0,"Chamaecrista isidorea","Chamaecrista isidorea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,302,"Chamaecrista isidorea",50.5,1.53888115522808,5.40941141405362,3.92197333628131
"2366",2499,732,"Chamaecrista_glandulosa",417,2427.4,732.2,1390.43165467626,1248,652,156,342.585131894484,303,26.5183338165284,15.0899997711181,22.486081182242,24.5208339691162,28.6313,-30,11.6475016402878,18.2655,21.3991112,-15.816666,1695.2,11.4283340454102,0,0,0,0,0,NA,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae",1,NA,1,0,0,"Chamaecrista glandulosa","Chamaecrista glandulosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,819,"Chamaecrista glandulosa",496,2.43609571437624,7.43555600695409,6.20657592672493
"2367",2500,729,"Chamaecrista_fagonioides",256,2366.25,755.5,1506.33984375,1505,341,101.75,174.80859375,157.5,27.0312504768372,20.5218744277954,23.8521321117878,23.9250001907348,18.292222,-22.905833,-7.96767025078125,-13.508333,16.93020875,-19.390990575,1610.75,6.50937604904175,0,0,0,0,0,NA,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae",1,NA,0,0,0,"Chamaecrista fagonioides","Chamaecrista fagonioides","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,302,"Chamaecrista fagonioides",239.25,1.87324360662578,7.38445518801875,5.47750903033306
"2368",2501,728,"Chamaecrista_ensiformis",308,1931.3,953.8,1368.42857142857,1311.5,299,113.35,177.126623376623,156.5,26.906667137146,20.7754162788391,24.1106195604646,24.2333326339722,-1.729486,-23.016389,-12.6416019224026,-11.35,-3.83750000000001,-22.58640295,977.499999999998,6.13125085830687,0,0,0,0,0,NA,"Cassieae","Chamaecrista","Caesalpinioideae","Cassieae",1,NA,0.489361702,0.130434783,0,"Chamaecrista ensiformis","Chamaecrista ensiformis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,816,"Chamaecrista ensiformis",185.65,1.81339878432041,6.88499829185952,5.22386318062309
