"","X","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","median_long","quant95","quant005","biome","precip_range","temp_range","nitro_range","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count","species.y"
"1374",1421,"Inocarpus_fagifer",94,3812.75,1795.4,2731.45744680851,2764,435,200,299.436170212766,281.5,27.1550004959107,21.3358327865601,25.4708333522716,26.0770835876464,5.833333,-19.57953,-6.43296404255319,-6.4201245,140.374239,2.97999944999999,-17.08390385,"1",2017.35,5.8191677093506,235,1,1,2,4700589798,6.56e+12,-4.19180059,"Dalbergieae","Inocarpus","Papilionoideae","Dalbergieae",1,4.19180059,1,0,2,"Inocarpus fagifer","Inocarpus fagifer","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,26,"Inocarpus fagifer"
"1375",1422,"Intsia_palembanica",67,3280.1,1955.3,2558.02985074627,2509,413.2,185.9,271.462686567164,260,27.8825004577636,23.8941665649414,26.192661655483,26.4916667938232,12.579,-9.42,0.450323149253731,1.333333,115.75,6.1158809,-7.3584867,"1",1324.8,3.98833389282227,227.3,0,1,0,0,5.92e+12,2.35059943,"Detarieae","Intsia","Detarioideae","Afzelieae",0,2.35059943,1,0,1,"Intsia palembanica","Intsia palembanica","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,1,"Y","Y",0,NA,0,88,"Intsia palembanica"
"1376",1423,"Isoberlinia_angolensis",103,1370,823.8,1089.04854368932,1053,187.4,73.1,116.223300970874,109,24.9408332824707,17.1616670608521,20.3911812050829,20.3875007629395,-3.816667,-13.47873,-9.87702816504854,-10.775833,32.33333,-5.15500030000001,-12.775027,"7",546.199999999999,7.77916622161866,114.3,0,1,0,0,8.37e+12,2.5611088,"Detarieae","Isoberlinia","Detarioideae","Amherstieae",0,2.5611088,1,0,0,"Isoberlinia angolensis","Isoberlinia angolensis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,0,4,"N","Y",0,NA,0,550,"Isoberlinia angolensis"
"1377",1424,"Isotropis_atropurpurea",344,457.85,262,362.886627906977,364.5,67.6999999999999,37,46.1802325581395,42,27.191040802002,23.5768745422363,25.031891966975,24.7479162216187,-15.845813,-27.7667,-21.2446695290698,-20.9957815,134.1258,-19.01772795,-23.39100555,"13",195.85,3.6141662597657,30.6999999999999,0,1,0,0,3.88e+12,-23.4204532,"Mirbelieae","Isotropis","Papilionoideae","Mirbelieae",1,23.4204532,1,0,2,"Isotropis atropurpurea","Isotropis atropurpurea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,266,"Isotropis atropurpurea"
"1378",1425,"Isotropis_cuneifolia",514,1122.7,363.3,658.151750972763,621.5,201,57,131.513618677043,139,20.1004170417786,14.9647918701172,17.4100518486379,17.6687498092652,-27.255851,-35.023311,-32.3174657743191,-32.015,116.0332405,-29.40090055,-34.7272177,"12",759.4,5.13562517166138,144,0,1,0,0,2.53e+12,-25.46607155,"Mirbelieae","Isotropis","Papilionoideae","Mirbelieae",1,25.46607155,1,0,0,"Isotropis cuneifolia","Isotropis cuneifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,164,"Isotropis cuneifolia"
"1379",1426,"Isotropis_juncea",66,739.5,278.25,408.393939393939,355,151,46.25,75.2121212121212,60.5,18.9916667938232,15.8708338737488,18.0695707436764,18.3125,-29.87018,-34.7,-31.5071577878788,-31.203551,117.0624835,-30.29637225,-33.8304165,"12",461.25,3.12083292007445,104.75,0,1,0,0,2.53e+12,-25.46607155,"Mirbelieae","Isotropis","Papilionoideae","Mirbelieae",1,25.46607155,1,0,0,"Isotropis juncea","Isotropis juncea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3828,"Isotropis juncea"
"1380",1436,"Julbernardia_globiflora",374,1504.15,694.95,1036.88770053476,1027.5,181.7,69,111.724598930481,107,25.6668749809265,17.6772917747498,21.949420671412,21.9979171752929,-3.2,-24.318988,-13.2976091925134,-14.82811,34.283211,-4.898005,-20.1027469,"7",809.2,7.9895832061767,112.7,0,1,0,0,6.73e+12,-11.532056,"Detarieae","Julbernardia","Detarioideae","Amherstieae",0,11.532056,1,0,4,"Julbernardia globiflora","Julbernardia globiflora","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,0,4,"N","Y",0,NA,0,45,"Julbernardia globiflora"
"1381",1437,"Julbernardia_paniculata",170,1350.45,778.15,1018.80588235294,1009.5,148,56,102.629411764706,100,23.8968753814697,17.5612499237061,20.295637214885,20.2312498092651,-2.12,-18.420001,-12.5481660529412,-13.2,27.315,-6.61231485,-15.82739965,"7",572.299999999999,6.33562545776365,92,0,1,0,0,6.19e+12,-8.67594049,"Detarieae","Julbernardia","Detarioideae","Amherstieae",0,8.67594049,1,0,2,"Julbernardia paniculata","Julbernardia paniculata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,10,0,10,"N","Y",0,NA,0,2723,"Julbernardia paniculata"
"1382",1438,"Kennedia_carinata",94,1196.45,638.1,924.829787234043,912,241,104.65,174.191489361702,171.5,17.0629173278808,14.9045835018158,15.7125443803503,15.4979166984558,-31.298768,-35.03,-34.0374307446809,-34.13625,116.137314,-32.64266655,-34.98673605,"12",558.35,2.15833382606503,136.35,0,1,0,0,2.53e+12,-25.46607155,"Phaseoleae","Kennedia","Papilionoideae","Phaseoleae",1,25.46607155,1,0,0,"Kennedia carinata","Kennedia carinata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,887,"Kennedia carinata"
"1383",1439,"Kennedia_coccinea",629,1168.8,422.4,815.901430842607,847,218,75,145.376788553259,143,18.2749992370605,14.7450000762939,16.1352146039517,15.9250001907349,-26.68972,-35.028333,-33.4509092337043,-33.7,116.251483,-31.753611,-34.966667,"12",746.4,3.52999916076656,143,0,1,0,0,2.53e+12,-25.46607155,"Phaseoleae","Kennedia","Papilionoideae","Phaseoleae",1,25.46607155,1,0,0,"Kennedia coccinea","Kennedia coccinea","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,5,1,0,"Y","N",0,NA,0,833,"Kennedia coccinea"
