"","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","quant95","quant005","Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count","precip_range","temp_range","nitro_range"
"21","Acrocarpus_fraxinifolius",97,3274,716.8,1452.53608247423,1161,421.399999999999,106.6,243.536082474227,225,25.3816669464111,16.8491668701172,20.7532646238189,20.4916667938232,27.673201,-10.629317,4.69942631958763,-0.8,24.496246,-7.3673334,"Acrocarpus fraxinifolius",1,1,5,6.43e+12,8.76e+12,17.36499145,"Caesalpinieae","Acrocarpus","Caesalpinioideae","Caesalpinieae","0",17.36499145,1,0,2,"Acrocarpus fraxinifolius","Acrocarpus fraxinifolius","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N","0",NA,0,50,2557.2,8.53250007629392,314.799999999999
"22","Aeschynomene_americana",2067,3162.7,834.3,1666.89598451863,1422,697,109,306.794388001935,235,27.2349992752075,18.4870832443237,23.7495041211908,24.2333335876465,30.72607,-32.286673,11.2513407116594,16.3,28.1926217,-19.0019172,"Aeschynomene americana",1,1,24,1.32e+13,2.63e+13,6.39935826,"Aeschynomeneae","Aeschynomene","Papilionoideae","Dalbergieae","1",6.39935826,1,0,4,"Aeschynomene americana","Aeschynomene americana","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,4,0,"Y","N","0",NA,0,32057,2328.4,8.74791603088375,588
"23","Aeschynomene_brevifolia",253,1941.4,622.6,1118.26086956522,973,266,58.2,157.513833992095,153,25.4291667938232,17.5524993896484,21.1906621616348,21.2041664123535,-13.18333,-30.964993,-23.3201601264822,-24.165361,-16.156666,-30.2973336,"Aeschynomene brevifolia",0,1,0,0,3.2e+12,-21.97901955,"Aeschynomeneae","Aeschynomene","Papilionoideae","Dalbergieae","1",21.97901955,0,0,1,"Aeschynomene brevifolia","Aeschynomene brevifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,584,1318.8,7.87666740417482,207.8
"24","Aeschynomene_indica",2873,2060.8,264.6,1031.99860772711,1011,413.6,35,158.741385311521,109,28.5750007629395,11.3116666793823,22.2427877539174,23.591667175293,45.22,-35.35,2.95390489244692,6.5833,36.8237848,-29.0170462,"Aeschynomene indica",1,1,8,57468988959,4.64e+13,11.15298163,"Aeschynomeneae","Aeschynomene","Papilionoideae","Dalbergieae","1",11.15298163,1,0,8,"Aeschynomene indica","Aeschynomene indica","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,10,10,0,"Y","N","0",NA,0,18021,1796.2,17.2633340835572,378.6
"25","Albizia_carbonaria",467,3229.7,1250.6,1935.38329764454,1583,618,220,337.295503211991,284,28.6779165267944,19.6774991989135,25.5117326957,27.5750007629395,20.41779,-21.805833,7.60468631905782,9.308044,10.1535746,1.5157135,"Albizia carbonaria",1,1,8,3.32e+12,2.72e+12,0.88450538,"Ingeae","Albizia","Caesalpinioideae","Ingeae","1",0.88450538,1,0,1,"Albizia carbonaria","Albizia carbonaria","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,1404,1979.1,9.00041732788085,398
"26","Albizia_chinensis",237,3361.2,1015.2,1749.26582278481,1627,514.599999999999,122,250.405063291139,215,25.8849998474121,15.4200000762939,21.1358474015184,21.8624992370605,33.1099,-24.7,15.2963252911392,22.010392,29.046,-15.4466664,"Albizia chinensis",1,1,10,5.73e+12,1.55e+13,9.10532931,"Ingeae","Albizia","Caesalpinioideae","Ingeae","1",9.10532931,1,0,3,"Albizia chinensis","Albizia chinensis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,0,"Y","N","1","Albizia chinensis",0,10957,2346,10.4649997711182,392.599999999999
"27","Albizia_julibrissin",5588,1788,487,1226.38493199714,1267,487.65,91,219.481030780243,174,20.2777085304261,10.6000003814697,15.0573669710519,14.6479167938232,47.645316,-40.811309,33.4799524865068,35.1331075,40.7161533,26.51530265,"Albizia julibrissin",1,1,19,3.04e+13,1.73e+13,27.01483409,"Ingeae","Albizia","Caesalpinioideae","Ingeae","1",27.01483409,1,0,5,"Albizia julibrissin","Albizia julibrissin","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,3,3,1,"Y","Y","1","Albizia julibrissin",0,1203,1301,9.67770814895635,396.65
"28","Albizia_lebbeck",1753,2065.6,545.2,1177.60524814604,1115,369.4,60.6,162.448944666286,136,27.7308330535889,20.0549991607666,24.5931878810737,25.0625,36.543332,-31.999956,2.80015410336566,6.72931,24.8482806,-23.6100166,"Albizia lebbeck",1,1,55,4.66e+13,9.6e+12,11.73152247,"Ingeae","Albizia","Caesalpinioideae","Ingeae","1",11.73152247,1,0,9,"Albizia lebbeck","Albizia lebbeck","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,12,10,0,"Y","N","1","Albizia lebbeck",0,1185,1520.4,7.6758338928223,308.8
"29","Albizia_procera",277,2875.8,890.2,1811.35740072202,1700,412.6,64.4,212.675090252708,196,27.1108337402344,20.6233337402344,24.4399368754363,24.8541660308838,30.286194,-27.474722,2.40159636534296,-5.229583,24.5465084,-20.7291052,"Albizia procera",1,1,14,1.64e+13,1.18e+13,8.77720443,"Ingeae","Albizia","Caesalpinioideae","Ingeae","1",8.77720443,1,0,5,"Albizia procera","Albizia procera","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,10,10,0,"Y","N","1","Albizia procera",0,2578,1985.6,6.48750000000001,348.2
"30","Alhagi_maurorum",297,622.4,62,324.023569023569,309,262.4,49.8,149.06734006734,141,22.7833332061768,8.40250034332276,15.7886363379783,16.091667175293,49.7,-36.76,22.5249266808081,32.965244,46.42348,-35.802,"Alhagi maurorum",1,1,3,5.66e+12,2.48e+13,37.52987616,"Galegeae","Alhagi","Papilionoideae","Hedysareae","1",37.52987616,1,0,8,"Alhagi maurorum","Alhagi maurorum","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,4,0,"Y","N","0",NA,0,350,560.4,14.380832862854,212.6
"31","Alysicarpus_bupleurifolius",145,2504,686,1348.20689655172,1212,376.8,67.2,170.28275862069,143,27.1891662597656,19.0183338165284,23.0549138102038,23.0791664123535,32.981944,-27.415073,-4.69249430344828,-16.75,24.6398488,-26.3562136,"Alysicarpus bupleurifolius",1,1,1,2055545262,2.03e+13,12.29159074,"Desmodieae","Alysicarpus","Papilionoideae","Desmodieae","1",12.29159074,0,0,3,"Alysicarpus bupleurifolius","Alysicarpus bupleurifolius","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,78,1818,8.17083244323724,309.6
"32","Alysicarpus_monilifer",90,1636.05,228.35,872.622222222222,782,283,56,132.2,111,28.7893750190735,20.2439582824707,25.6645370377435,26.3791666030884,33.53872,-25.31667,4.48870136666667,13.001768,23.2140265,-23.68333165,"Alysicarpus monilifer",1,1,2,4700589798,1.25e+13,16.75637872,"Desmodieae","Alysicarpus","Papilionoideae","Desmodieae","1",16.75637872,0,0,3,"Alysicarpus monilifer","Alysicarpus monilifer","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,5,5,0,"Y","N","0",NA,0,90,1407.7,8.54541673660281,227
"33","Alysicarpus_ovalifolius",2402,1536,198.1,645.368442964196,397,183.9,26,71.6719400499584,54,29.6031244277954,23.9877076148986,27.8479270426856,28.2541675567627,32.589474,-27.415073,9.91896377227311,14.316667,16.466667,-15.3876017,"Alysicarpus ovalifolius",1,1,3,38395327310,3.6e+13,6.09103209,"Desmodieae","Alysicarpus","Papilionoideae","Desmodieae","1",6.09103209,0,0,3,"Alysicarpus ovalifolius","Alysicarpus ovalifolius","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,83,1337.9,5.61541681289678,157.9
