species,n,precip_maxquant,precip_minquant,precip_mean,precip_median,nitro_maxquant,nitro_minquant,nitro_mean,nitro_median,temp_maxquant,temp_minquant,temp_mean,temp_median,max_lat,min_lat,mean_lat,median_lat,median_long,quant95,quant005,num_biome,biome,precip_range,temp_range,nitro_range,genus,fixer,woody,annual,uses_num_uses,Domatia,EFN
Astragalus_monspessulanus,9686,1264,407,835.1412347718374,840.5,488,133,258.9667561428864,226,14.7583332061768,5.226041555404665,11.03986251796514,11.5500001907349,49.16034,35.2887109,43.30541638287219,43.88424,4.52468,45.5961,39.072500000000005,4,12,857,9.532291650772136,355,Astragalus,1,0,0,2,0,0
Astragalus_neglectus,180,1027.15,570.0500000000001,753.8166666666667,671,579.1999999999996,236.85,370.4611111111111,348,8.576249980926509,3.5122917175293007,5.161643531587388,4.47083330154419,48.346668,37.67815,45.96264443888889,46.609935,-95.021206,47.81055045,42.7649715,2,4,457.0999999999998,5.063958263397208,342.34999999999957,Astragalus,1,0,0,0,0,0
Astragalus_nuttallianus,2102,910.8499999999996,146,438.2312083729784,357.5,181,35,102.314462416746,99,21.92062520980836,11.196249866485635,17.261146145248052,17.65625,40.835214,18.46806,33.18710705551855,33.30536,-108.9536885,37.35695445,28.614412500000004,8,13,764.8499999999995,10.724375343322723,146,Astragalus,1,0,1,0,0,0
Astragalus_nuttallii,58,871.25,406.55,577.3620689655172,554.5,340.05,154.95000000000002,227.3965517241379,213,15.30395851135255,12.481874847412074,13.976077605938084,13.9229164123535,37.603704,33.343968,35.542872589655175,35.421918000000005,-120.8169595,36.8096219,34.628725,3,12,464.7,2.822083663940475,185.1,Astragalus,1,0,0,0,0,0
Astragalus_onobrychis,3274,1248,360,675.4612095296275,563,531,172,310.53573610262737,292,11.3791666030884,1.7054167866706846,7.234709067794133,7.75833320617676,57.7904,37.543824,48.095427160659746,47.7832085,27.24665,54.571509,43.276144599999995,6,4,888,9.673749816417716,359,Astragalus,1,0,0,3,0,0
Astragalus_pectinatus,645,498.5999999999999,278.4,373.9162790697675,363,255.79999999999995,108,163.2186046511628,153,12.05166683197018,3.35833334922791,7.326227381063061,6.72499990463257,53.983333,37.13921,44.37219801627907,43.785,-105.340041,50.733014399999995,37.950962,3,8,220.19999999999993,8.693333482742268,147.79999999999995,Astragalus,1,0,0,0,0,0
Astragalus_pehuenches,40,689.7499999999998,190.85,419.275,409,291,63,173.65,185.5,12.050000476837193,4.02354190945625,8.136875058710578,8.447916984558105,-32.7775,-42.55,-36.68957875,-35.206371000000004,-69.5908335,-33.3275224,-42.3823333,3,8,498.89999999999975,8.026458567380942,228,Astragalus,1,0,0.171641791,0,0,0
Astragalus_ponticus,97,621.8,418.7999999999999,517.7835051546392,512,330.2,181.8,249.20618556701032,248,11.78583297729494,7.666666889190671,9.577706150172911,9.63749980926514,48.890278,38.585526,45.61033331958763,44.922926,34.045361,48.5853514,40.199160000000006,3,4,203,4.11916608810427,148.39999999999998,Astragalus,1,0,0,0,0,0
Astragalus_robbinsii,388,1166.9499999999994,296.05,655.7474226804123,584.5,661.5999999999999,177.35000000000002,317.5386597938145,269.5,7.197916650772093,-2.9681250691413883,1.9824097842919,2.1604167222976702,68.8333,35.096356,48.090500353092786,48.480034,-114.7296915,63.27499999999997,38.98990625,6,5,870.8999999999994,10.166041719913482,484.2499999999999,Astragalus,1,0,0,0,0,0
Astragalus_scaberrimus,164,708.7,229.65,416.2987804878049,370,434.9,83.15,229.9878048780488,225,13.09333338737486,-2.7654166936874387,3.6439786654692607,0.32499999925494183,53.238,26.91,44.37731443292683,46.923886499999995,108.3610025,51.8646,34.0033926,7,8,479.05000000000007,15.858750081062295,351.75,Astragalus,1,0,0,1,0,0
