species,n,precip_maxquant,precip_minquant,precip_mean,precip_median,nitro_maxquant,nitro_minquant,nitro_mean,nitro_median,temp_maxquant,temp_minquant,temp_mean,temp_median,max_lat,min_lat,mean_lat,median_lat,median_long,quant95,quant005,num_biome,biome,precip_range,temp_range,nitro_range,genus,fixer,woody,annual,uses_num_uses,Domatia,EFN
Trifolium_spumosum,733,843,392.6,586.6412005457025,569,247.39999999999998,118.60000000000001,169.55661664392906,160,19.6958332061768,13.217500114440899,16.754268964348515,16.8791656494141,48.80409,-31.933333,36.31465330559345,36.95,34.92,43.379428000000004,31.8911996,6,12,450.4,6.478333091735902,128.79999999999995,Trifolium,1,0,1,1,0,0
Trifolium_squamosum,1509,1029.1999999999998,507,736.6713055003314,728,380.5999999999999,127,219.43472498343277,205,17.548332977294898,10.516666412353562,13.568994370890895,12.9875001907349,54.992299,-41.618738,43.06657147541418,43.64346,0.37428,48.015395999999996,36.78872874,2,4,522.1999999999998,7.031666564941336,253.5999999999999,Trifolium,1,0,1,0,0,0
Trifolium_squarrosum,221,1033,426,702.3665158371041,679,311,126,195.98642533936652,181,17.7374992370605,10.8166666030884,14.36016215458175,14.4750003814697,50.91391,-3.55,40.5353819760181,40.82,-0.50286,47.5859,35.193,4,12,607,6.9208326339721005,185,Trifolium,1,0,1,0,0,0
Trifolium_stellatum,8946,937,373,645.350771294433,628.5,288,122,187.07422311647656,177,18.486457824707,11.4333333969116,14.87162792130975,14.8208332061768,55.942973,-38.0333,39.50474787006483,39.5375995,3.36697,43.999877500000004,32.447410250000004,5,12,564,7.0531244277953995,166,Trifolium,1,0,1,2,0,0
Trifolium_steudneri,86,1436,839.5,1141.9767441860465,1156.5,278.5,153.75,198.67441860465115,190.5,19.8156247138977,15.226041555404676,17.383091039435804,17.279166221618652,12.6,-0.166667,9.458138755813954,9.03333,38.1083335,11.82917475,8.01667525,2,10,596.5,4.589583158493026,124.75,Trifolium,1,0,1,1,0,0
Trifolium_stoloniferum,75,1219,983.3,1104.16,1107,614.7999999999998,142.7,246.57333333333332,188,12.81625022888186,8.423749923706056,11.48694449742635,11.9916667938232,40.679209,36.97,38.68963529333333,38.82,-84.486903,39.607954,37.7914402,2,4,235.70000000000005,4.392500305175803,472.09999999999985,Trifolium,1,0,0,0,0,0
Trifolium_striatum,12245,1082,479,743.6811759902004,723,425,141,259.55737035524686,246,15.628333282470717,7.47499990463257,10.770296383064686,10.4166669845581,57.943889,-45.473775,39.53673895265823,45.86303,3.73992,55.897909,-36.61104,5,4,603,8.153333377838146,284,Trifolium,1,0,0,1,0,0
Trifolium_strictum,1519,1083.2999999999997,445.9,729.0230414746543,697,337.0999999999999,125,205.20539828834757,189,15.99625005722044,8.352916908264165,11.935884345433209,11.6166667938232,54.0484,-34.85862,42.594115913759055,42.32,-0.34,47.67710100000001,38.143909900000004,3,12,637.3999999999997,7.643333148956275,212.0999999999999,Trifolium,1,0,1,0,0,0
Trifolium_subterraneum,11879,1147.1000000000004,451,742.3317619328226,715,341,122,217.95420489940213,211,16.92499942779537,9.90833377838135,13.364822376315287,13.4458332061768,55.606515,-45.780706,12.975081535524875,38.28,4.49321,48.438911000000004,-38.03928,7,4,696.1000000000004,7.016665649414021,219,Trifolium,1,0,1,2,0,0
Trifolium_suffocatum,1109,1562.6,396,739.8052299368809,665,491,119,231.89900811541963,202,17.489999771118118,9.80416679382324,13.815810030059195,14.3333330154419,57.663317,-43.601563,35.933836025879174,40.713634,-0.18,52.1927188,-35.52665999999999,5,12,1166.6,7.6858329772948775,372,Trifolium,1,0,1,0,0,0
Trifolium_sylvaticum,199,1266.3,435.5,886.3065326633165,974,270.79999999999995,129.5,181.58291457286433,171,15.59249963760378,9.22499990463257,13.418383605516137,13.9624996185303,51.850307,33.09,40.56279609547739,41.255657,-6.18,42.4772243,37.706666399999996,2,12,830.8,6.3674997329712095,141.29999999999995,Trifolium,1,0,1,0,0,0
Trifolium_tembense,188,1619.3,864.75,1151.3085106382978,1080.5,348.6,140.1,235.0425531914894,229,20.444999980926486,10.91125040054318,14.999756156130038,14.5770831108093,12.48333,-9.1,7.233962861702127,8.9833165,38.9833335,10.835845,-6.8576266000000015,4,10,754.55,9.533749580383306,208.50000000000003,Trifolium,1,0,1,0,0,0
Trifolium_tomentosum,4905,885.4000000000005,320,559.3219164118244,541,254,94,162.32436289500484,154,19.341667175293,12.0583333969116,15.707109252295853,15.6666669845581,55.606515,-45.287944,23.27688219818553,37.749,3.68277,43.276427999999996,-36.23132,8,12,565.4000000000005,7.283333778381401,160,Trifolium,1,0,1,1,0,0
Trifolium_tumens,44,788.9000000000001,427,568.4772727272727,556,348.80000000000007,209,269.97727272727275,265,11.815624666214015,7.473541784286498,10.103503779931502,10.1583333015442,45.0131,38.18,40.89667109090909,40.89097,46.3833315,44.733856249999995,38.8,4,4,361.9000000000001,4.342082881927517,139.80000000000007,Trifolium,1,0,0,1,0,0
